Date,cad,oil
2015-01-28,1.2445,16.559998999999998
2015-01-27,1.2392,17.209999
2015-01-26,1.2435,16.870001000000002
2015-01-23,1.2402,17.0
2015-01-22,1.233,17.41
2015-01-21,1.2286,17.77
2015-01-20,1.2089,17.48
2015-01-16,1.1974,18.33
2015-01-15,1.1916,17.450001
2015-01-14,1.1959,18.27
2015-01-13,1.1931,17.620001000000006
2015-01-12,1.1932,17.41
2015-01-09,1.1854,18.280001
2015-01-08,1.1823,18.549999
2015-01-07,1.1865,18.370001
2015-01-06,1.179,18.049999
2015-01-05,1.1789,18.790001
2015-01-02,1.1713,19.889999
2014-12-31,1.158,20.360001
2014-12-30,1.1604,20.290001
2014-12-29,1.1624,20.299999
2014-12-24,1.1603,21.049999
2014-12-23,1.1611,21.559999
2014-12-22,1.164,20.92
2014-12-19,1.16,21.959999
2014-12-18,1.1604,20.74
2014-12-17,1.166,21.34
2014-12-16,1.1634,21.299999
2014-12-15,1.1624,21.059999
2014-12-12,1.1544,21.93
2014-12-11,1.153,22.68
2014-12-10,1.147,23.280001
2014-12-09,1.1423,24.200001
2014-12-08,1.1457,23.91
2014-12-05,1.1427,24.959999
2014-12-04,1.1376,25.34
2014-12-03,1.136,25.58
2014-12-02,1.1389,25.58
2014-12-01,1.1381,26.32
2014-11-28,1.1401,25.58
2014-11-26,1.1234,27.9
2014-11-25,1.1254,28.030001
2014-11-24,1.1277,28.74
2014-11-21,1.1228,29.1
2014-11-20,1.1302,28.73
2014-11-19,1.1338,28.25
2014-11-18,1.1304,28.200001
2014-11-17,1.1314,28.68
2014-11-14,1.1318,28.83
2014-11-13,1.1341,28.290001
2014-11-12,1.1303,29.139999
2014-11-11,1.134,29.42
2014-11-10,1.1322,29.34
2014-11-07,1.1351,29.76
2014-11-06,1.1413,29.6
2014-11-05,1.1387,29.950001
2014-11-04,1.1402,29.299999
2014-11-03,1.1311,29.76
2014-10-31,1.1273,30.629999
2014-10-30,1.1198,30.76
